location_code,station_code,name,city,lat,lng,service_type,type
mtn001,MTN,MTN - OV-fiets - Maastricht Noord,Maastricht,50.871155,5.717754,,OV_FIETS
mtr001,MTR,MTR - OV-fiets - Maastricht Randwyck,Maastricht,50.837552,5.718918,,OV_FIETS
mz001,MZ,MZ - OV-fiets - Maarheeze,Maarheeze,51.303797,5.630193,,OV_FIETS
ndb003,NDB,NDB - OV-fiets - Naarden-Bussum,Bussum,52.28132,5.15793,,OV_FIETS
nkk001,NKK,NKK - OV-fiets - Nijkerk,Nijkerk,52.22233,5.4934,,OV_FIETS
nm001,NM,NM - OV-fiets - Nijmegen,Nijmegen,51.842825,5.853375,Bemenst,OV_FIETS
nmgo001,NMGO,NMGO - OV-fiets - Nijmegen Goffert,Nijmegen,51.827584,5.822425,,OV_FIETS
nmh001,NMH,NMH - OV-fiets - Nijmegen Heyendaal,Nijmegen,51.826458,5.868115,,OV_FIETS
Ns001,NS,NS - OV-fiets - Nunspeet,Nunspeet,52.37102,5.784352,,OV_FIETS
nvd001,NVD,NVD - OV-fiets - Hellendoorn/Nijverdal OV-fiets Carrousel,Hellendoorn,52.36599,6.469563,,OV_FIETS
o002,O,O - OV-fiets - Oss,Oss,51.76537,5.53079,,OV_FIETS
obd001,OBD,OBD - OV-fiets - Obdam,Obdam,52.677967,4.909418,,OV_FIETS
odb001,ODB,ODB - OV-fiets - Oudenbosch,Oudenbosch,51.588055,4.533494,,OV_FIETS
odz001,ODZ,ODZ - OV-fiets - Oldenzaal,Oldenzaal,52.306438,6.934339,,OV_FIETS
omn001,OMN,OMN - OV-fiets - Ommen,Ommen,52.509885,6.417791,,OV_FIETS
ost001,OST,OST - OV-fiets - Olst,Olst,52.335821,6.113231,,OV_FIETS
Ot001,OT,OT - OV-fiets - Oisterwijk,Oisterwijk,51.582096,5.194357,,OV_FIETS
ovn001,OVN,OVN - OV-fiets - Overveen,Overveen,52.390924,4.608202,,OV_FIETS
ow001,OW,OW - OV-fiets - Oss West,Oss,51.758646,5.507076,,OV_FIETS
Ow002,BSLC,O - OV-fiets - Uden,Uden,51.660336,5.617622,,OV_FIETS
pmo001,PMO,PMO - OV-fiets - Purmerend Overwhere,Purmerend,52.51107,4.967149,,OV_FIETS
pmr001,PMR,PMR - OV-fiets - Purmerend,Purmerend,52.503751,4.954667,,OV_FIETS
pt001,PT,PT - OV-fiets - Putten,Putten,52.265094,5.576082,,OV_FIETS
rai001,RAI,RAI - OV-fiets - Amsterdam RAI,Amsterdam,52.33725,4.89075,Bemenst,OV_FIETS
rat001,RAT,RAT - OV-fiets - Raalte,Raalte,52.39069,6.27817,,OV_FIETS
rh001,RH,RH - OV-fiets - Rheden,Rheden,52.009869,6.030578,,OV_FIETS
rhn001,RHN,RHN - OV-fiets - Rhenen,Rhenen,51.957599,5.578209,,OV_FIETS
rlb001,RLB,RLB - OV-fiets - Rotterdam Lombardijen,Rotterdam,51.88073,4.531314,,OV_FIETS
rm001,RM,RM - OV-fiets - Roermond,Roermond,51.192425,5.99353,Sleutelautomaat,OV_FIETS
rs001,RS,RS - OV-fiets - Rosmalen,Rosmalen,51.715439,5.369477,,OV_FIETS
rsd002,RSD,RSD - OV-fiets - Roosendaal,Roosendaal,51.54078,4.46115,,OV_FIETS
rsn001,RSN,RS - OV-fiets - Rijssen,Rijssen,52.311246,6.519122,,OV_FIETS
rsw002,RSW,RSW - OV-fiets - Rijswijk,Rijswijk,52.03988,4.31965,Bemenst,OV_FIETS
rta001,RTA,RTA - OV-fiets - Rotterdam Alexander,Rotterdam,51.951985,4.552063,,OV_FIETS
rtb001,RTB,RTB - OV-fiets - Rotterdam Blaak,Rotterdam,51.920017,4.488638,Bemenst,OV_FIETS
rtd001,RTD,RTD - OV-fiets - Rotterdam Centraal,Rotterdam,51.923421,4.469738,Bemenst,OV_FIETS
Rtd003,BSLC,RTD - OV-fiets - Rotterdam Fietspunt Wilhelminakade Prinsendam,Rotterdam,51.907233,4.490302,,OV_FIETS
Rtd004,BSLC,RTD - OV-fiets - Rotterdam Fietspunt Marconiplein,Rotterdam,51.913304,4.432742,,OV_FIETS
rtd906,BSLC,RTD - OV-fiets - Pijnacker,Pijnacker,52.019488,4.437386,,OV_FIETS
rtd907,BSLC,RTD - OV-fiets - Pijnacker Zuid,Pijnacker,52.00517,4.446053,,OV_FIETS
Rtn002,RTN,RNO - OV-fiets - Rotterdam Noord,Rotterdam Noord,51.942494,4.481715,,OV_FIETS
Rtn003,RTN,RNO - OV-fiets - Rotterdam Noord Pop up,Rotterdam,51.94156,4.481287,,OV_FIETS
rv001,RV,RV - OV-fiets - Reuver,Reuver,51.283199,6.079383,,OV_FIETS
Rvs001,RVS,RVS - OV fiets - Ravenstein,Ravenstein,51.79464,5.637462,,OV_FIETS
sd001,SD,SD - OV-fiets - Soestdijk,Soest,52.183744,5.299849,,OV_FIETS
sdm002,SDM,SDM - OV-fiets - Schiedam,Schiedam,51.921491,4.40774,,OV_FIETS
sdt001,SDT,SDT - OV-fiets - Sliedrecht,Sliedrecht,51.829686,4.777269,,OV_FIETS
sgn001,SGN,SGN - OV-fiets - Schagen,Schagen,52.78558,4.80506,,OV_FIETS
shl001,SHL,SHL - OV-fiets - Schiphol,Luchthaven Schiphol,52.309265,4.759774,,OV_FIETS
sk001,SK,SK - OV-fiets - Sneek,Sneek,53.032708,5.652365,,OV_FIETS
sptn001,SPTN,SPTN - OV-fiets - Santpoort Noord,Santpoort-Noord,52.433767,4.633007,,OV_FIETS
sptz001,SPTZ,SPTZ - OV-fiets - Santpoort Zuid,Santpoort-Zuid,52.419138,4.631457,,OV_FIETS
std002,STD,STD - OV-fiets - Sittard,Sittard,51.00126,5.85969,,OV_FIETS
stz001,STZ,STZ - OV-fiets - Soest Zuid,Soest,52.16506,5.303182,,OV_FIETS
swk002,SWK,SWK - OV-fiets - Steenwijk,Steenwijk,52.79051,6.11712,,OV_FIETS
tb002,TB,TB-OV-fiets - Tilburg Noord,Tilburg,51.56099,5.086718,,OV_FIETS
tb003,TB,TB-OV-fiets - Tilburg Zuid,Tilburg,51.5602,5.086418,,OV_FIETS
tbg001,TBG,TBG - OV-fiets - Terborg,Terborg,51.922847,6.363685,,OV_FIETS
tbr001,TBR,TB - OV-fiets - Tilburg Reeshof,Tilburg,51.573442,4.993904,,OV_FIETS
tbu001,TBU,TBU - OV-fiets - Tilburg West Universiteit,Tilburg,51.56519,5.052541,,OV_FIETS
tl003,TL,TL - OV-fiets - Tiel,Tiel,51.88973,5.42399,,OV_FIETS
ut007,BSLC,UT - OV-fiets - Utrecht P+R Westraven,Utrecht,52.05745,5.10406,,OV_FIETS
ut016,UT,UT - OV-fiets - Utrecht Centraal Jaarbeursplein,Utrecht,52.08895,5.10756,Bemenst,OV_FIETS
ut020,UT,UT - OV -fiets - Utrecht Centraal Stationsplein,Utrecht,52.090746,5.110702,Bemenst,OV_FIETS
ut021,UT,UT - OV-fiets - Utrecht Centraal Knoop,Utrecht,52.087374,5.109469,Bemenst,OV_FIETS
ut901,BSLC,UT - OV-fiets - IJsselstijn UT,IJsselstein,52.01661,5.03918,,OV_FIETS
ut903,BSLC,UT - OV-fiets - Utrecht Rijnsweerd,Utrecht,52.092506,5.152792,,OV_FIETS
ut904,BSLC,UT - OV-fiets - Utrecht P+R Papendorp,Utrecht,52.07164,5.07869,,OV_FIETS
ut905,BSLC,UT - OV-fiets - Vianen A2,Vianen,51.9891,5.08497,,OV_FIETS
ut906,BSLC,UT- OV-fiets - Utrecht P+R Science Park (De Uithof),Utrecht,52.08481,5.17314,,OV_FIETS
utg001,UTG,UTG - OV-fiets - Uitgeest,Uitgeest,52.521939,4.702788,,OV_FIETS
utl001,UTLN,UTLN - OV-fiets - Utrecht Lunetten,Utrecht,52.06604,5.143176,,OV_FIETS
utlr001,UTLR,UTLR - OV-fiets - Utrecht Leidsche Rijn,Utrecht,52.09918,5.06476,,OV_FIETS
uto002,UTO,UTO - OV-fiets - Utrecht Overvecht,Utrecht,52.109965,5.123593,,OV_FIETS
utt001,UTT,UTT - OV-fiets - Utrecht Terwijde,Vleuten,52.100027,5.044109,,OV_FIETS
UTVR001,UTVR,UT-OV-fiets-Utrecht Vaartsche Rijn,Utrecht,52.078023,5.122392,Bemenst,OV_FIETS
utzl001,UTZL,UTZL - OV-fiets - Utrecht Zuilen,Utrecht,52.102943,5.089436,,OV_FIETS
vb002,VB,VB - OV-fiets - Voorburg,Voorburg,52.06676,4.35956,,OV_FIETS
Vdm001,VDM,VDM - OV-fiets - Veendam,Veendam,53.104346,6.885426,,OV_FIETS
Vg001,VG,VG - OV-fiets - Vught,Vught,51.650022,5.292163,,OV_FIETS
vh001,VH,VH - OV-fiets - Voorhout,Voorhout,52.2237,4.4842,,OV_FIETS
vhp001,VHP,VHP - OV-fiets - Vroomshoop,Vroomshoop,52.457294,6.569981,,OV_FIETS
vk001,VK,VK - OV-fiets - Valkenburg,Valkenburg,50.868919,5.833232,,OV_FIETS
vl001,VL,VL - OV fiets - Venlo,Venlo,51.365024,6.171608,Sleutelautomaat,OV_FIETS
vlb001,VLB,VLB - OV-fiets - Vierlingsbeek,Vierlingsbeek,51.592165,5.99734,,OV_FIETS
vndc002,VNDC,VNDC - OV-fiets - Veenendaal Centrum,Veenendaal,52.019787,5.549334,,OV_FIETS
vndw001,VNDW,VNDW - OV-fiets - Veenendaal West,Veenendaal west,52.028414,5.531225,,OV_FIETS
vp001,VP,VP - OV-fiets - Velp,Velp,51.995078,5.980713,,OV_FIETS
vry001,VRY,VRY - OV-fiets - Venray,Venray,51.52736,6.01351,,OV_FIETS
vs001,VS,VS - OV-fiets - Vlissingen,Vlissingen,51.44385,3.59536,Bemenst,OV_FIETS
Vss002,VSS,VL - OV-fiets- Souburg,Oost Souburg,51.464953,3.595486,,OV_FIETS
vst001,VST,VST - OV-fiets - Voorschoten,Voorschoten,52.126074,4.434178,,OV_FIETS
vsv001,VSV,VSV - OV-fiets - Varsseveld,Varsseveld,51.937305,6.458526,,OV_FIETS
vtn001,VTN,VTN - OV-fiets - Vleuten,Vleuten,52.102677,5.007495,,OV_FIETS
vz001,VZ,VZ - OV-fiets - Vriezenveen,Vriezenveen,52.40276,6.60034,,OV_FIETS
wc001,WC,WC - OV-fiets - Wijchen,Wijchen,51.811556,5.729842,,OV_FIETS
wd001,WD,WD - OV-fiets - Woerden,Woerden,52.08536,4.89283,,OV_FIETS
wf001,WF,WF - OV-fiets - Wolfheze,Wolfheze,52.005491,5.792359,,OV_FIETS
wh001,WH,WH - OV-fiets - Wijhe,Wijhe,52.391352,6.141081,,OV_FIETS
WM002,WM,WM - OV-fiets - Wormerveer ,Wormerveer,52.489166,4.793222,,OV_FIETS
wm002,WM,WM - OV-fiets - Wormerveer ,Wormerveer,52.489166,4.792222,,OV_FIETS
wp001,WP,WP - OV-fiets - Weesp,Weesp,52.31266,5.04215,Bemenst,OV_FIETS
wp901,WP,WP - OV-fiets - Muiden P&R,Muiden,52.32876,5.05091,,OV_FIETS
ws001,WS,WS - OV-fiets - Winschoten,Winschoten,53.139314,7.035409,,OV_FIETS
Wsm001,WSM,WSM - OV-fiets - Winsum,Winsum,53.329479,6.520013,,OV_FIETS
wt003,WT,WT - OV-fiets - Weert,Weert,51.2493,5.70558,,OV_FIETS
wtv001,WTV,WTV - OV-fiets - Westervoort,Westervoort,51.962695,5.969124,,OV_FIETS
ww001,WW,WW - OV-fiets - Winterswijk,Winterswijk,51.968415,6.714602,,OV_FIETS
ypb001,YPB,YPB - OV-fiets Den Haag Ypenburg,Den Haag Ypenburg,52.055471,4.389355,,OV_FIETS
zbm002,ZBM,ZBM - OV-fiets - Zaltbommel,Zaltbommel,51.80812,5.26288,,OV_FIETS
ZD002,ZD,ZD - OV-fiets - Zaandam,Zaandam,52.438795,4.815877,,OV_FIETS
Zh001,ZH,ZH - OV-fiets - Zuidhorn,Zuidhorn,53.248372,6.406436,,OV_FIETS
zl003,ZL,ZL - OV-fiets - Zwolle Hanzeland,Zwolle,52.503322,6.089361,,OV_FIETS
zl004,ZL,ZL - OV-fiets - Zwolle Stationsplein,Zwolle,52.505809,6.090895,Bemenst,OV_FIETS
Zlw001,ZLW,ZLW - OV-fiets - Lage Zwaluwe,Zevenbergschen Hoek,51.690151,4.662549,,OV_FIETS
zp001,ZP,ZP - OV-fiets - Zutphen,Zutphen,52.14475,6.19585,Bemenst,OV_FIETS
ztm002,ZTM,ZTM - OV-fiets - Zoetermeer Centrum West,Zoetermeer,52.06024,4.48739,,OV_FIETS
